602.gcc,351,350,1.002857143,1.002x,54,19158,70
631.deepsjeng,320,319,1.003134796,1.003x,12,8780,15
641.leela,357.5,356,1.004213483,1.004x,11,3042,17
644.nab,2094,2084,1.0047984,1.005x,0,0,0
623.xalancbmk,216,214.2,1.008403361,1.008x,35,1913,44
619.lbm,759,752,1.0093085,1.009x,0,0,0
620.omnetpp,284,281,1.010676157,1.010x,15,6039,19
600.perlbench,293,289,1.01384083,1.013x,19,22234,24
657.xz,1956,1927,1.015049299,1.015x,11,3794,16
605.mcf,572,562,1.017793594,1.018x,10,2610,14
638.imagick,3277,3201,1.023742,1.024x,0,0,0
625.x264,208,202,1.02970297,1.029x,17,36324,22
